geography,id,HH_control,Tot_Pop_control,HH_result,Tot_Pop_result,HH_diff,Tot_Pop_diff,HH_diff_may24,Tot_Pop_diff_may24
PUMA,2500100,63347,137289,63347,137275,0,-14,0,-132
PUMA,2500200,53938,129864,54610,134077,672,4213,3896,16713
PUMA,2500300,79304,196511,79304,196501,0,-10,0,-137
PUMA,2500301,55721,125769,55721,125812,0,43,0,-45
PUMA,2500302,61650,142461,62166,145856,516,3395,606,2796
PUMA,2500303,58605,138912,58605,138938,0,26,0,-22
PUMA,2500304,79829,185308,80301,187555,472,2247,1727,7987
PUMA,2500400,45148,107550,45609,110491,461,2941,3406,13758
PUMA,2500501,53573,124027,53573,124051,0,24,0,17
PUMA,2500502,42867,107232,42867,107224,0,-8,0,-75
PUMA,2500503,63893,152519,63893,152535,0,16,0,-114
PUMA,2500504,69151,167919,69151,167898,0,-21,0,-120
PUMA,2500505,63011,140552,63011,140563,0,11,0,60
PUMA,2500506,61443,145048,61443,145006,0,-42,0,-6276
PUMA,2500507,64039,141022,64339,142684,300,1662,777,4130
PUMA,2500508,59149,144197,59149,144192,0,-5,0,-79
PUMA,2500701,89762,224295,89762,224299,0,4,0,-74
PUMA,2500702,50644,122378,50644,122385,0,7,0,-26
PUMA,2500703,101627,229273,102105,231835,478,2562,2250,9564
PUMA,2500704,48889,114487,49161,116256,272,1769,1820,9063
PUMA,2501000,65035,158412,65035,158358,0,-54,0,-6
PUMA,2501300,51710,129599,52152,132095,442,2496,1950,7910
PUMA,2501400,55398,135995,55398,136002,0,7,0,8
PUMA,2501600,66427,148299,67078,152475,651,4176,4674,19847
PUMA,2501900,65683,166439,65683,166438,0,-1,0,-160
PUMA,2501901,67689,155414,68315,161340,626,5926,714,4135
PUMA,2501902,55372,126586,55809,128949,437,2363,3708,15047
PUMA,2502400,53794,129958,53794,129957,0,-1,0,54
PUMA,2502800,68556,155995,69038,159197,482,3202,2183,9171
PUMA,2503301,69614,163937,70051,166866,437,2929,559,-7981
PUMA,2503302,109838,227263,110514,231181,676,3918,4630,20024
PUMA,2503303,74608,174912,74608,174901,0,-11,0,-140
PUMA,2503304,57411,137975,57856,140930,445,2955,4015,19866
PUMA,2503305,62713,139026,63266,142843,553,3817,3662,17170
PUMA,2503306,44685,102437,44969,104086,284,1649,2766,13692
PUMA,2503400,67729,160491,68187,163144,458,2653,1829,7970
PUMA,2503500,45440,118860,45861,121538,421,2678,1541,6861
PUMA,2503601,57274,141946,57760,145053,486,3107,1289,7069
PUMA,2503602,54863,130513,55144,131959,281,1446,2109,8745
PUMA,2503603,65172,141110,65172,141114,0,4,0,-41
PUMA,2503900,66172,159372,66172,159376,0,4,0,-62
PUMA,2504000,49006,128126,49404,130939,398,2813,886,4645
PUMA,2504200,58465,135220,58465,135208,0,-12,0,109
PUMA,2504301,50656,122727,50656,122737,0,10,0,-132
PUMA,2504302,45551,98672,46007,101846,456,3174,598,2796
PUMA,2504303,56609,136568,56609,136574,0,6,0,-17
PUMA,2504500,52374,119833,52374,119813,0,-20,0,-95
PUMA,2504700,50570,112992,50570,113029,0,37,0,-63
PUMA,2504800,45884,96631,45884,96668,0,37,0,-25
PUMA,2504901,49633,131401,49633,131401,0,0,0,-101
PUMA,2504902,49948,123239,50335,125609,387,2370,2636,11583
PUMA,2504903,61769,144695,62077,146285,308,1590,1470,6769
PUMA,3300300,4143,9347,4143,9349,0,2,0,-14
PUMA,3300400,6309,13709,6309,13711,0,2,0,-20
PUMA,3300500,5093,11496,5162,11956,69,460,526,2306
PUMA,3300600,52172,119896,52539,121942,367,2046,3211,12747
PUMA,3300700,64094,150531,64690,154219,596,3688,4603,18978
PUMA,3300800,46349,100362,47037,105142,688,4780,5828,26374
PUMA,3300900,50738,115859,51195,118339,457,2480,4490,18583
PUMA,3301000,81803,180259,82512,184245,709,3986,6619,25722
PUMA,4400101,66095,148094,66726,151705,631,3611,2991,13041
PUMA,4400102,80788,175613,81658,181079,870,5466,5477,26738
PUMA,4400103,81936,191631,82607,196637,671,5006,683,3767
PUMA,4400104,52011,116592,52544,119355,533,2763,4310,16891
PUMA,4400201,74253,161123,74771,163474,518,2351,3898,18628
PUMA,4400300,54090,123452,54769,127719,679,4267,3762,15794
PUMA,4400400,63602,143368,64157,146576,555,3208,3017,12163
