process,pid,rss,full_rss,uss,event,children,time
MainProcess,23472,101_576_704,101_576_704,69_902_336,pipeline.run before preload_injectables,0,2022/05/19 15:07:30.046294
MainProcess,23472,101_879_808,101_879_808,69_902_336,pipeline.run after preload_injectables,0,2022/05/19 15:07:30.071481
MainProcess,23472,101_904_384,101_904_384,69_902_336,pipeline.run_model input_pre_processor start,0,2022/05/19 15:07:30.086790
MainProcess,23472,148_058_112,148_058_112,116_600_832,pipeline.run_model input_pre_processor finished,0,2022/05/19 15:07:30.565927
MainProcess,23472,162_906_112,162_906_112,130_473_984,pipeline.run after input_pre_processor,0,2022/05/19 15:07:31.020732
MainProcess,23472,162_926_592,162_926_592,130_494_464,pipeline.run_model setup_data_structures start,0,2022/05/19 15:07:31.041950
MainProcess,23472,165_834_752,165_834_752,133_836_800,pipeline.run_model setup_data_structures finished,0,2022/05/19 15:07:31.450227
MainProcess,23472,166_502_400,166_502_400,134_324_224,pipeline.run after setup_data_structures,0,2022/05/19 15:07:31.719432
MainProcess,23472,167_288_832,167_288_832,134_324_224,pipeline.run_model initial_seed_balancing start,0,2022/05/19 15:07:31.753362
MainProcess,23472,167_788_544,167_788_544,135_733_248,pipeline.run_model initial_seed_balancing finished,0,2022/05/19 15:07:53.075591
MainProcess,23472,169_046_016,169_046_016,136_105_984,pipeline.run after initial_seed_balancing,0,2022/05/19 15:07:53.114766
MainProcess,23472,169_111_552,169_111_552,136_105_984,pipeline.run_model meta_control_factoring start,0,2022/05/19 15:07:53.132391
MainProcess,23472,169_521_152,169_521_152,136_515_584,pipeline.run_model meta_control_factoring finished,0,2022/05/19 15:07:53.151514
MainProcess,23472,169_521_152,169_521_152,136_515_584,pipeline.run after meta_control_factoring,0,2022/05/19 15:07:53.181804
MainProcess,23472,169_521_152,169_521_152,136_515_584,pipeline.run_model final_seed_balancing start,0,2022/05/19 15:07:53.199748
MainProcess,23472,169_627_648,169_627_648,136_654_848,pipeline.run_model final_seed_balancing finished,0,2022/05/19 15:07:53.218777
MainProcess,23472,170_024_960,170_024_960,137_039_872,pipeline.run after final_seed_balancing,0,2022/05/19 15:07:53.262812
MainProcess,23472,170_045_440,170_045_440,137_039_872,pipeline.run_model integerize_final_seed_weights start,0,2022/05/19 15:07:53.282632
MainProcess,23472,173_494_272,173_494_272,138_596_352,pipeline.run_model integerize_final_seed_weights finished,0,2022/05/19 15:07:53.995801
MainProcess,23472,173_441_024,173_441_024,137_830_400,pipeline.run after integerize_final_seed_weights,0,2022/05/19 15:07:54.037364
MainProcess,23472,173_547_520,173_547_520,137_830_400,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/05/19 15:07:54.058802
MainProcess,23472,198_328_320,198_328_320,156_409_856,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/05/19 15:41:42.876332
MainProcess,23472,201_351_168,201_351_168,158_453_760,pipeline.run after sub_balancing.geography=TAZ,0,2022/05/19 15:41:43.059959
MainProcess,23472,201_428_992,201_428_992,158_502_912,pipeline.run_model expand_households start,0,2022/05/19 15:41:43.079372
MainProcess,23472,315_072_512,315_072_512,274_522_112,pipeline.run_model expand_households finished,0,2022/05/19 15:43:10.732890
MainProcess,23472,316_018_688,316_018_688,274_534_400,pipeline.run after expand_households,0,2022/05/19 15:43:11.255997
MainProcess,23472,316_018_688,316_018_688,274_534_400,pipeline.run_model write_data_dictionary start,0,2022/05/19 15:43:11.279930
MainProcess,23472,345_665_536,345_665_536,304_001_024,pipeline.run_model write_data_dictionary finished,0,2022/05/19 15:43:12.244030
MainProcess,23472,345_673_728,345_673_728,304_009_216,pipeline.run after write_data_dictionary,0,2022/05/19 15:43:12.280622
MainProcess,23472,345_673_728,345_673_728,304_009_216,pipeline.run_model summarize start,0,2022/05/19 15:43:12.308592
MainProcess,23472,337_702_912,337_702_912,297_029_632,pipeline.run_model summarize finished,0,2022/05/19 15:43:28.027100
MainProcess,23472,343_212_032,343_212_032,301_559_808,pipeline.run after summarize,0,2022/05/19 15:43:28.133961
MainProcess,23472,343_240_704,343_240_704,301_559_808,pipeline.run_model write_tables start,0,2022/05/19 15:43:28.176795
MainProcess,23472,345_518_080,345_518_080,303_837_184,pipeline.run_model write_tables finished,0,2022/05/19 15:43:36.567297
MainProcess,23472,345_522_176,345_522_176,303_841_280,pipeline.run after write_tables,0,2022/05/19 15:43:36.612694
MainProcess,23472,345_522_176,345_522_176,303_841_280,pipeline.run_model write_synthetic_population start,0,2022/05/19 15:43:36.636613
MainProcess,23472,346_669_056,346_669_056,304_967_680,pipeline.run_model write_synthetic_population finished,0,2022/05/19 15:44:13.542271
MainProcess,23472,346_669_056,346_669_056,304_967_680,pipeline.run after write_synthetic_population,0,2022/05/19 15:44:13.584694
MainProcess,23472,346_669_056,346_669_056,304_967_680,pipeline.run after run_models,0,2022/05/19 15:44:13.608618
